,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,state
0,,,,2021-01-01T00:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,30.35,42,46,0.01,-RA:02 |RA |RA,,,86.0,,FEW:02 14 OVC:08 34,30.32,10.00,44.0,010,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10801/01/21 00:28:02 SPECI KORF 010528Z 01011KT 10SM -RA FEW014 OVC034 08/06 A3035 RMK AO2 P0001 T00780056 (AH),FM-16,FM-16,7.0,7.0,72308013737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,virginia
1,7.4,0.0,0.0,2021-01-31T23:59:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1526.0,701.0,,,,,,,,,,,,,,,,,,10.0,8.0,9.0,0.0,0.0,0.0,2.0,0.0,-62.0,1.3,2.6,0.41,,1.54,25-26,3,28.0,3.0,28-28,30.44,1.0,909.0,49.4,42.4,29.5,16.0,1351.0,35.3,30.03,30.0,3.81,3.3,,-7777.0,763.0,SOM793PCP MTOT:3.72 PCP GT 24HRS:1.54 DATE(S):25-26 DAYS W/PCP >=.01:10 DAYS W/PCP >=.10:8  DAYS W/ PCP >=.50:4 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.13  03/0600 MIN:10 0.18  03/0602 MIN:15 0.22  03/0603 MIN:20 0.23  03/0602 MIN:30 0.27  03/0603 MIN:45 0.32  26/0347 MIN:60 0.40  26/0400 MIN:80 0.45  26/0404 MIN:100 0.52  26/0357 MIN:120 0.57  26/0404 MIN:150 0.60  26/0437 MIN:180 0.64  03/0702 AVG DLY MIN:35.3  AVG DLY MAX:49.4  AVG MLY TMP:42.4  MIN TMP:27 DATE(S):29 MAX TMP:62  DATE(S):02 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:9  DAYS MIN  <=0:0  AVG STP:29.995 LWST SLP:29.49 DATE/TIME:161426 HGST SLP:30.44 DATE/TIME:010909 HDD MTH TOT:692 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1510 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-01-03 06:00,2021-01-03 06:02,2021-01-03 06:03,2021-01-03 06:02,2021-01-03 06:03,2021-01-26 03:47,2021-01-26 04:00,2021-01-26 04:04,2021-01-26 03:57,2021-01-26 04:04,2021-01-26 04:37,2021-01-03 07:02,0.13,0.18,0.22,0.23,0.27,0.32,0.4,0.45,0.52,0.57,0.6,0.64,,,virginia
2,10.3,0.0,0.0,2021-02-28T23:59:00,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,2146.0,620.0,,,,,,,,,,,,,,,,,,16.0,12.0,5.0,0.0,0.0,0.0,0.2,-1.0,-7.0,-1.3,1.7,3.32,,1.13,18-19,0,,0.1,01-01,30.63,21.0,1130.0,49.6,42.8,29.53,2.0,1451.0,36.1,30.07,30.04,6.44,0.1,,1.0,627.0,SOM796PCP MTOT:6.43 PCP GT 24HRS:1.13 DATE(S):18-19 DAYS W/PCP >=.01:15 DAYS W/PCP >=.10:12 DAYS W/ PCP >=.50:6 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.12  22/1513 MIN:10 0.18  22/1513 MIN:15 0.23  18/0740 MIN:20 0.29  18/0741 MIN:30 0.36  18/0752 MIN:45 0.44  18/0805 MIN:60 0.50  18/0823 MIN:80 0.56  18/0827 MIN:100 0.59  18/0827 MIN:120 0.62  18/0827 MIN:150 0.64  18/0846 MIN:180 0.66  18/0827 AVG DLY MIN:36.1  AVG DLY MAX:49.6  AVG MLY TMP:42.9  MIN TMP:30 DATE(S):22 21 MAX TMP:70  DATE(S):24 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:5  DAYS MIN  <=0:0  AVG STP:30.040 LWST SLP:29.52 DATE/TIME:021305 HGST SLP:30.63 DATE/TIME:211130 HDD MTH TOT:612 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2122 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-02-22 15:13,2021-02-22 15:13,2021-02-18 07:40,2021-02-18 07:41,2021-02-18 07:52,2021-02-18 08:05,2021-02-18 08:23,2021-02-18 08:27,2021-02-18 08:27,2021-02-18 08:27,2021-02-18 08:46,2021-02-18 08:27,0.12,0.18,0.23,0.29,0.36,0.44,0.5,0.56,0.59,0.62,0.64,0.66,,,virginia
3,10.1,27.0,27.0,2021-03-31T23:59:00,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,2508.0,362.0,,,,,,,,,,,,,,,,,,9.0,6.0,2.0,0.0,0.0,0.0,4.8,21.0,-130.0,5.6,4.1,-1.7,,0.61,18-19,T,15.0,0.0,19-19,30.54,20.0,1141.0,63.8,54.2,29.57,18.0,2051.0,44.6,30.15,30.12,1.98,T,,6.0,492.0,SOM795PCP MTOT:1.98 PCP GT 24HRS:0.61 DATE(S):18-19 DAYS W/PCP >=.01:9  DAYS W/PCP >=.10:6  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.17  31/1733 MIN:10 0.25  18/2127 MIN:15 0.29  18/2129 MIN:20 0.29  18/2129 MIN:30 0.29  18/2129 MIN:45 0.30  31/1910 MIN:60 0.30  31/1910 MIN:80 0.48  31/1846 MIN:100 0.55  31/1907 MIN:120 0.56  31/1910 MIN:150 0.59  31/1955 MIN:180 0.59  31/1955 AVG DLY MIN:44.6  AVG DLY MAX:63.8  AVG MLY TMP:54.2  MIN TMP:28 DATE(S):08 MAX TMP:85  DATE(S):28 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:2  DAYS MIN  <=0:0  AVG STP:30.125 LWST SLP:29.56 DATE/TIME:182102 HGST SLP:30.54 DATE/TIME:201141 HDD MTH TOT:355 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2477 DEP NORM:-25536 CDD MTH TOT:29 DEP NORM:-2553 SEASON(JAN 1-DEC 31):29 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-03-31 17:33,2021-03-18 21:27,2021-03-18 21:29,2021-03-18 21:29,2021-03-18 21:29,2021-03-31 19:10,2021-03-31 19:10,2021-03-31 18:46,2021-03-31 19:07,2021-03-31 19:10,2021-03-31 19:55,2021-03-31 19:55,0.17,0.25,0.29,0.29,0.29,0.3,0.3,0.48,0.55,0.56,0.59,0.59,,,virginia
4,9.2,71.0,43.0,2021-04-30T23:59:00,0.0,,5.0,,,,,,,,,,,,,,,,,,,,,2675.0,167.0,,,,,,,,,,,,,,,,,,9.0,7.0,0.0,0.0,0.0,0.0,2.7,6.0,-72.0,3.2,2.0,-0.73,,1.16,14-15,0,,0.0,,30.47,3.0,954.0,70.8,60.9,29.47,11.0,1751.0,50.9,29.94,29.91,2.68,,,37.0,239.0,SOM795PCP MTOT:2.68 PCP GT 24HRS:1.16 DATE(S):14-15 DAYS W/PCP >=.01:9  DAYS W/PCP >=.10:7  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.14  19/1155 MIN:10 0.23  19/1157 MIN:15 0.27  19/1202 MIN:20 0.31  14/2310 MIN:30 0.40  14/2316 MIN:45 0.49  14/2329 MIN:60 0.53  14/2341 MIN:80 0.61  15/0002 MIN:100 0.69  15/0020 MIN:120 0.72  15/0027 MIN:150 0.76  15/0027 MIN:180 0.91  14/2329 AVG DLY MIN:50.9  AVG DLY MAX:70.8  AVG MLY TMP:60.9  MIN TMP:35 DATE(S):02 MAX TMP:89  DATE(S):29 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.910 LWST SLP:29.46 DATE/TIME:111815 HGST SLP:30.47 DATE/TIME:030954 HDD MTH TOT:162 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2639 DEP NORM:-25536 CDD MTH TOT:45 DEP NORM:-2553 SEASON(JAN 1-DEC 31):74 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-04-19 11:55,2021-04-19 11:57,2021-04-19 12:02,2021-04-14 23:10,2021-04-14 23:16,2021-04-14 23:29,2021-04-14 23:41,2021-04-15 00:02,2021-04-15 00:20,2021-04-15 00:27,2021-04-15 00:27,2021-04-14 23:29,0.14,0.23,0.27,0.31,0.4,0.49,0.53,0.61,0.69,0.72,0.76,0.91,,,virginia
5,8.7,224.0,153.0,2021-05-31T23:59:00,0.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,2738.0,63.0,,,,,,,,,,,,,,,,,,7.0,3.0,0.0,5.0,0.0,0.0,1.3,31.0,-8.0,2.8,-0.3,-1.15,,1.83,29-30,0,,0.0,,30.53,21.0,1051.0,78.2,67.9,29.67,28.0,1813.0,57.6,30.09,30.06,2.26,,,122.0,71.0,SOM796PCP MTOT:2.26 PCP GT 24HRS:1.83 DATE(S):29-30 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.44  29/1338 MIN:10 0.63  29/1339 MIN:15 0.65  29/1343 MIN:20 0.66  29/1349 MIN:30 1.05  29/1338 MIN:45 1.10  29/1349 MIN:60 1.10  29/1349 MIN:80 1.11  29/1427 MIN:100 1.16  29/1446 MIN:120 1.20  29/1507 MIN:150 1.21  29/1535 MIN:180 1.21  29/1535 AVG DLY MIN:57.6  AVG DLY MAX:78.4  AVG MLY TMP:68.0  MIN TMP:45 DATE(S):13 MAX TMP:99  DATE(S):28 DAYS MAX <=32:0 DAYS MAX >=90:5  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:30.060 LWST SLP:29.67 DATE/TIME:281813 HGST SLP:30.53 DATE/TIME:211051 HDD MTH TOT:60 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2699 DEP NORM:-25536 CDD MTH TOT:161 DEP NORM:-2553 SEASON(JAN 1-DEC 31):235 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-05-29 13:38,2021-05-29 13:39,2021-05-29 13:43,2021-05-29 13:49,2021-05-29 13:38,2021-05-29 13:49,2021-05-29 13:49,2021-05-29 14:27,2021-05-29 14:46,2021-05-29 15:07,2021-05-29 15:35,2021-05-29 15:35,0.44,0.63,0.65,0.66,1.05,1.1,1.1,1.11,1.16,1.2,1.21,1.21,,,virginia
6,8.7,616.0,392.0,2021-06-30T23:59:00,0.0,,9.0,,,,,,,,,,,,,,,,,,,,,2738.0,0.0,,,,,,,,,,,,,,,,,,12.0,8.0,0.0,10.0,0.0,0.0,2.8,77.0,-6.0,2.3,3.2,0.18,,1.78,02-03,0,,0.0,,30.34,24.0,1201.0,85.8,78.1,29.67,21.0,1758.0,70.3,30.03,30.0,4.44,,,315.0,6.0,SOM793PCP MTOT:4.44 PCP GT 24HRS:1.78 DATE(S):2-3 DAYS W/PCP >=.01:11 DAYS W/PCP >=.10:7  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.24  26/1115 MIN:10 0.31  04/0817 MIN:15 0.36  04/0820 MIN:20 0.40  03/0042 MIN:30 0.48  03/0042 MIN:45 0.55  03/0048 MIN:60 0.58  03/0100 MIN:80 0.61  03/0125 MIN:100 0.62  03/0143 MIN:120 0.67  03/0203 MIN:150 0.96  03/0238 MIN:180 1.00  03/0240 AVG DLY MIN:70.3  AVG DLY MAX:86.0  AVG MLY TMP:78.2  MIN TMP:57 DATE(S):01 MAX TMP:95  DATE(S):30 DAYS MAX <=32:0 DAYS MAX >=90:10 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:30.000 LWST SLP:29.67 DATE/TIME:211758 HGST SLP:30.34 DATE/TIME:241201 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2699 DEP NORM:-25536 CDD MTH TOT:400 DEP NORM:-2553 SEASON(JAN 1-DEC 31):635 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-06-26 11:15,2021-06-04 08:17,2021-06-04 08:20,2021-06-03 00:42,2021-06-03 00:42,2021-06-03 00:48,2021-06-03 01:00,2021-06-03 01:25,2021-06-03 01:43,2021-06-03 02:03,2021-06-03 02:38,2021-06-03 02:40,0.24,0.31,0.36,0.4,0.48,0.55,0.58,0.61,0.62,0.67,0.96,1.0,,,virginia
7,9.2,1133.0,517.0,2021-07-31T23:59:00,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,10.0,3.0,0.0,19.0,0.0,0.0,2.1,63.0,0.0,2.6,1.4,-2.51,,1.31,02-02,0,,0.0,,30.25,13.0,754.0,90.0,81.7,29.7,8.0,2151.0,73.3,30.0,29.97,2.63,,,454.0,0.0,SOM792PCP MTOT:2.63 PCP GT 24HRS:1.31 DATE(S):2 DAYS W/PCP >=.01:10 DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.24  02/0807 MIN:10 0.45  02/0809 MIN:15 0.64  02/0815 MIN:20 0.80  02/0816 MIN:30 0.89  02/0825 MIN:45 0.97  02/0838 MIN:60 1.00  02/0853 MIN:80 1.14  02/0906 MIN:100 1.15  02/0936 MIN:120 1.20  02/0956 MIN:150 1.25  02/1004 MIN:180 1.25  02/1048 AVG DLY MIN:73.3  AVG DLY MAX:90.5  AVG MLY TMP:81.9  MIN TMP:66 DATE(S):04 MAX TMP:97  DATE(S):17 01 DAYS MAX <=32:0 DAYS MAX >=90:20 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.970 LWST SLP:29.69 DATE/TIME:082203 HGST SLP:30.25 DATE/TIME:130754 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:529 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1164 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-07-02 08:07,2021-07-02 08:09,2021-07-02 08:15,2021-07-02 08:16,2021-07-02 08:25,2021-07-02 08:38,2021-07-02 08:53,2021-07-02 09:06,2021-07-02 09:36,2021-07-02 09:56,2021-07-02 10:04,2021-07-02 10:48,0.24,0.45,0.64,0.8,0.89,0.97,1.0,1.14,1.15,1.2,1.25,1.25,,,virginia
8,7.2,1574.0,441.0,2021-08-31T23:59:00,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,11.0,7.0,0.0,12.0,0.0,0.0,1.3,41.0,0.0,1.3,1.4,0.71,,2.35,03-04,0,,0.0,,30.2,6.0,1039.0,86.4,79.2,29.78,31.0,1751.0,72.1,30.04,30.01,6.23,,,400.0,-7777.0,SOM791PCP MTOT:6.23 PCP GT 24HRS:2.35 DATE(S):3-4 DAYS W/PCP >=.01:11 DAYS W/PCP >=.10:7  DAYS W/ PCP >=.50:5 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.36  20/0842 MIN:10 0.49  20/0847 MIN:15 0.52  20/0847 MIN:20 0.52  20/0847 MIN:30 0.52  20/0847 MIN:45 0.52  20/0847 MIN:60 0.52  20/0847 MIN:80 0.52  20/0847 MIN:100 0.57  04/0500 MIN:120 0.69  04/0500 MIN:150 0.82  04/0510 MIN:180 0.93  04/0540 AVG DLY MIN:72.1  AVG DLY MAX:86.4  AVG MLY TMP:79.3  MIN TMP:64 DATE(S):06 MAX TMP:95  DATE(S):13 DAYS MAX <=32:0 DAYS MAX >=90:12 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:30.005 LWST SLP:29.77 DATE/TIME:311609 HGST SLP:30.20 DATE/TIME:061039 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:449 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1613 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-08-20 08:42,2021-08-20 08:47,2021-08-20 08:47,2021-08-20 08:47,2021-08-20 08:47,2021-08-20 08:47,2021-08-20 08:47,2021-08-20 08:47,2021-08-04 05:00,2021-08-04 05:00,2021-08-04 05:10,2021-08-04 05:40,0.36,0.49,0.52,0.52,0.52,0.52,0.52,0.52,0.57,0.69,0.82,0.93,,,virginia
9,8.3,1807.0,233.0,2021-09-30T23:59:00,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,5.0,4.0,0.0,1.0,0.0,0.0,0.5,3.0,-11.0,1.5,-0.5,-1.77,,2.21,08-09,0,,0.0,,30.26,12.0,711.0,80.8,72.8,29.57,1.0,1651.0,64.8,30.01,29.98,2.99,,,230.0,11.0,SOM791PCP MTOT:2.99 PCP GT 24HRS:2.21 DATE(S):8-9 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.23  08/1908 MIN:10 0.35  08/1816 MIN:15 0.53  08/1816 MIN:20 0.60  08/1818 MIN:30 0.62  09/1405 MIN:45 0.68  08/1845 MIN:60 0.74  08/1900 MIN:80 1.25  08/1920 MIN:100 1.29  08/1940 MIN:120 1.34  08/1949 MIN:150 1.34  08/1949 MIN:180 1.34  08/1949 AVG DLY MIN:64.8  AVG DLY MAX:80.8  AVG MLY TMP:72.8  MIN TMP:54 DATE(S):30 MAX TMP:90  DATE(S):08 DAYS MAX <=32:0 DAYS MAX >=90:1  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.980 LWST SLP:29.56 DATE/TIME:011617 HGST SLP:30.26 DATE/TIME:120711 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:242 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1855 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-09-08 19:08,2021-09-08 18:16,2021-09-08 18:16,2021-09-08 18:18,2021-09-09 14:05,2021-09-08 18:45,2021-09-08 19:00,2021-09-08 19:20,2021-09-08 19:40,2021-09-08 19:49,2021-09-08 19:49,2021-09-08 19:49,0.23,0.35,0.53,0.6,0.62,0.68,0.74,1.25,1.29,1.34,1.34,1.34,,,virginia
10,9.2,1904.0,97.0,2021-10-31T23:59:00,0.0,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,,,,,,,,,,,,,,,,,,11.0,6.0,0.0,0.0,0.0,0.0,4.5,42.0,-100.0,4.3,4.8,-0.98,,1.04,28-29,0,,0.0,,30.31,6.0,1000.0,74.4,66.6,29.42,29.0,1613.0,58.8,29.98,29.94,2.44,,,55.0,146.0,SOM804PCP MTOT:2.44 PCP GT 24HRS:1.04 DATE(S):28-29 DAYS W/PCP >=.01:11 DAYS W/PCP >=.10:6  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.14  25/2339 MIN:10 0.20  25/2339 MIN:15 0.22  25/2344 MIN:20 0.26  25/2339 MIN:30 0.29  25/2344 MIN:45 0.32  26/0004 MIN:60 0.35  26/0010 MIN:80 0.36  26/0030 MIN:100 0.37  26/0030 MIN:120 0.37  26/0030 MIN:150 0.37  26/0030 MIN:180 0.39  26/0204 AVG DLY MIN:58.8  AVG DLY MAX:74.4  AVG MLY TMP:66.6  MIN TMP:49 DATE(S):21 20 MAX TMP:85  DATE(S):16 04 03 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.940 LWST SLP:29.42 DATE/TIME:291613 HGST SLP:30.31 DATE/TIME:061000 HDD MTH TOT:44 DEP NORM:-2553 SEASON(JUL 1-JUN 30):44 DEP NORM:-25536 CDD MTH TOT:102 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1957 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-10-25 23:39,2021-10-25 23:39,2021-10-25 23:44,2021-10-25 23:39,2021-10-25 23:44,2021-10-26 00:04,2021-10-26 00:10,2021-10-26 00:30,2021-10-26 00:30,2021-10-26 00:30,2021-10-26 00:30,2021-10-26 02:04,0.14,0.2,0.22,0.26,0.29,0.32,0.35,0.36,0.37,0.37,0.37,0.39,,,virginia
11,9.6,1904.0,0.0,2021-11-30T23:59:00,0.0,,,,,,,,,,,,,,,,,,,,,,,480.0,434.0,,,,,,,,,,,,,,,,,,7.0,3.0,5.0,0.0,0.0,0.0,-2.4,-8.0,61.0,-1.7,-2.9,-1.94,,0.6,12-12,0,,0.0,,30.55,20.0,1105.0,59.4,50.5,29.77,26.0,551.0,41.7,30.12,30.09,1.21,,,8.0,373.0,SOM792PCP MTOT:1.21 PCP GT 24HRS:0.60 DATE(S):12 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.10  12/0755 MIN:10 0.13  12/0350 MIN:15 0.15  12/0352 MIN:20 0.18  12/0352 MIN:30 0.23  12/0401 MIN:45 0.27  12/0406 MIN:60 0.28  12/0406 MIN:80 0.30  12/0423 MIN:100 0.31  12/0423 MIN:120 0.31  12/0423 MIN:150 0.31  12/0423 MIN:180 0.32  12/0544 AVG DLY MIN:41.7  AVG DLY MAX:59.4  AVG MLY TMP:50.6  MIN TMP:28 DATE(S):30 MAX TMP:76  DATE(S):18 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:5  DAYS MIN  <=0:0  AVG STP:30.090 LWST SLP:29.76 DATE/TIME:260600 HGST SLP:30.55 DATE/TIME:201105 HDD MTH TOT:427 DEP NORM:-2553 SEASON(JUL 1-JUN 30):471 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1957 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72308013737.0,2021-11-12 07:55,2021-11-12 03:50,2021-11-12 03:52,2021-11-12 03:52,2021-11-12 04:01,2021-11-12 04:06,2021-11-12 04:06,2021-11-12 04:23,2021-11-12 04:23,2021-11-12 04:23,2021-11-12 04:23,2021-11-12 05:44,0.1,0.13,0.15,0.18,0.23,0.27,0.28,0.3,0.31,0.31,0.31,0.32,,,virginia
