,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,state
0,,,,2021-01-01T00:53:00,,,,,,,,,,,,,,,,,,,,,,,,,,29.71,48,52,0.00,,,,86,29.72,CLR:00,29.62,10.00,50,160,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09501/01/21 00:53:02 METAR KAEX 010653Z 16011KT 10SM CLR 11/09 A2971 RMK AO2 SLP065 T01110089 (LX),FM-15,FM-15,7.0,7.0,74754093915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,louisiana
1,,,,2021-01-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,9.0,0.0,0.0,0,,,,,,,,2.48s,21-22,,,,,30.61,28.0,959.0,58.8,49.2,29.67,25.0,1443.0,39.5,30.12,30.01,4.21s,,,,,SOM793PCP MTOT:4.21 PCP GT 24HRS:2.48 DATE(S):21-22 DAYS W/PCP >=.01:9  DAYS W/PCP >=.10:6  DAYS W/ PCP >=.50:3 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.09  21/1912 MIN:10 0.14  21/1916 MIN:15 0.17  21/1916 MIN:20 0.20  21/1917 MIN:30 0.28  22/0122 MIN:45 0.36  22/0133 MIN:60 0.41  22/0136 MIN:80 0.49  22/0136 MIN:100 0.59  22/0136 MIN:120 0.75  22/0251 MIN:150 0.90  22/0310 MIN:180 1.02  22/0257 AVG DLY MIN:39.5  AVG DLY MAX:58.8  AVG MLY TMP:49.2  MIN TMP:24 DATE(S):12 MAX TMP:73  DATE(S):19 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:9  DAYS MIN  <=0:0  AVG STP:30.015 LWST SLP:29.67 DATE/TIME:251443 HGST SLP:30.61 DATE/TIME:280959 HDD MTH TOT:487 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1189 DEP NORM:-25536 CDD MTH TOT:1 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-01-21 19:12,2021-01-21 19:16,2021-01-21 19:16,2021-01-21 19:17,2021-01-22 01:22,2021-01-22 01:33,2021-01-22 01:36,2021-01-22 01:36,2021-01-22 01:36,2021-01-22 02:51,2021-01-22 03:10,2021-01-22 02:57,0.09,0.14,0.17,0.2,0.28,0.36,0.41,0.49,0.59,0.75,0.9,1.02,,,louisiana
2,,,,2021-02-28T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,12.0,0.0,0.0,5,,,,,,,,2.36,17-17,,,,,30.52,19.0,1104.0,55.5,46.5,29.74,4.0,1546.0,37.4,30.11,30.01,4.58s,,,,,SOM792PCP MTOT:4.58 PCP GT 24HRS:2.36 DATE(S):17 DAYS W/PCP >=.01:12 DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:3 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.12  11/1742 MIN:10 0.19  11/1744 MIN:15 0.24  17/1153 MIN:20 0.31  17/1233 MIN:30 0.41  17/1243 MIN:45 0.62  17/1258 MIN:60 0.82  17/1313 MIN:80 1.07  17/1300 MIN:100 1.30  17/1320 MIN:120 1.48  17/1339 MIN:150 1.66  17/1351 MIN:180 1.81  17/1343 AVG DLY MIN:37.4  AVG DLY MAX:55.5  AVG MLY TMP:46.5  MIN TMP:11 DATE(S):16 MAX TMP:80  DATE(S):26 DAYS MAX <=32:5 DAYS MAX >=90:0  DAYS MIN <=32:12 DAYS MIN  <=0:0  AVG STP:30.010 LWST SLP:29.74 DATE/TIME:041546 HGST SLP:30.52 DATE/TIME:191104 HDD MTH TOT:532 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1721 DEP NORM:-25536 CDD MTH TOT:19 DEP NORM:-2553 SEASON(JAN 1-DEC 31):20 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-02-11 17:42,2021-02-11 17:44,2021-02-17 11:53,2021-02-17 12:33,2021-02-17 12:43,2021-02-17 12:58,2021-02-17 13:13,2021-02-17 13:00,2021-02-17 13:20,2021-02-17 13:39,2021-02-17 13:51,2021-02-17 13:43,0.12,0.19,0.24,0.31,0.41,0.62,0.82,1.07,1.3,1.48,1.66,1.81,,,louisiana
3,,,,2021-03-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4s,2s,,,,,,,,,,,,0.27s,30-31,,,,,30.52,8.0,1030.0,73.0,61.7,29.57,17.0,1416.0,50.3,30.08,29.99,0.46s,,,,,SOM731PCP MTOT:0.46 PCP GT 24HRS:0.27 DATE(S):30-31 DAYS W/PCP >=.01:4  DAYS W/PCP >=.10:2  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.06  28/0214 MIN:10 0.06  28/0214 MIN:15 0.08  31/1011 MIN:20 0.10  31/1025 MIN:30 0.14  31/1025 MIN:45 0.18  31/1039 MIN:60 0.18  31/1039 MIN:80 0.18  31/1039 MIN:100 0.19  31/1133 MIN:120 0.24  31/1154 MIN:150 0.24  31/1154 MIN:180 0.24  31/1154 AVG DLY MIN:50.3  AVG DLY MAX:73.0  AVG MLY TMP:61.7  MIN TMP:35 DATE(S):03 MAX TMP:84  DATE(S):25 15 AVG STP:29.990 LWST SLP:29.57 DATE/TIME:171416 HGST SLP:30.52 DATE/TIME:081030 HDD MTH TOT:167 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1888 DEP NORM:-25536 CDD MTH TOT:75 DEP NORM:-2553 SEASON(JAN 1-DEC 31):95 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-03-28 02:14,2021-03-28 02:14,2021-03-31 10:11,2021-03-31 10:25,2021-03-31 10:25,2021-03-31 10:39,2021-03-31 10:39,2021-03-31 10:39,2021-03-31 11:33,2021-03-31 11:54,2021-03-31 11:54,2021-03-31 11:54,0.06,0.06,0.08,0.1,0.14,0.18,0.18s,0.18,0.19,0.24s,0.24,0.24s,,,louisiana
4,,,,2021-04-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,0.0,0.0,0.0,0,,,,,,,,4.08s,23-24,,,,,30.52,2.0,958.0,76.2,65.9,29.6,10.0,132.0,55.5,30.0,29.91,12.29s,,,,,SOM797PCP MTOT:12.29 PCP GT 24HRS:4.08 DATE(S):23-24 DAYS W/PCP >=.01:12 DAYS W/PCP >=.10:11 DAYS W/ PCP >=.50:7 DAYS W/PCP >=1.00:4 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.46  29/1757 MIN:10 0.80  29/1757 MIN:15 0.96  29/1757 MIN:20 1.18  23/2000 MIN:30 1.36  23/2001 MIN:45 1.59  23/2023 MIN:60 1.80  23/2027 MIN:80 1.89  23/2043 MIN:100 1.96  23/2101 MIN:120 2.19  23/2000 MIN:150 2.84  23/2004 MIN:180 3.23  23/2030 AVG DLY MIN:55.5  AVG DLY MAX:76.2  AVG MLY TMP:65.9  MIN TMP:37 DATE(S):02 MAX TMP:87  DATE(S):09 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.905 LWST SLP:29.60 DATE/TIME:100132 HGST SLP:30.52 DATE/TIME:020958 HDD MTH TOT:75 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1963 DEP NORM:-25536 CDD MTH TOT:108 DEP NORM:-2553 SEASON(JAN 1-DEC 31):203 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-04-29 17:57,2021-04-29 17:57,2021-04-29 17:57,2021-04-23 20:00,2021-04-23 20:01,2021-04-23 20:23,2021-04-23 20:27,2021-04-23 20:43,2021-04-23 21:01,2021-04-23 20:00,2021-04-23 20:04,2021-04-23 20:30,0.46,0.8,0.96,1.18,1.36,1.59,1.80,1.89,1.96,2.19,2.84,3.23,,,louisiana
5,,,,2021-05-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,0.0,2.0,0.0,0,,,,,,,,1.60s,09-10,,,,,30.27,14.0,904.0,82.0,73.3,29.61,2.0,1850.0,64.5,30.03,29.93,6.95s,,,,,SOM794PCP MTOT:6.95 PCP GT 24HRS:1.60 DATE(S):9-10 DAYS W/PCP >=.01:14 DAYS W/PCP >=.10:10 DAYS W/ PCP >=.50:6 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.28  04/1204 MIN:10 0.36  11/2006 MIN:15 0.41  11/2010 MIN:20 0.45  11/2015 MIN:30 0.60  04/1229 MIN:45 0.71  04/1243 MIN:60 0.72  04/1243 MIN:80 0.72  04/1243 MIN:100 0.72  04/1243 MIN:120 0.72  04/1243 MIN:150 0.72  04/1243 MIN:180 0.75  17/0848 AVG DLY MIN:64.5  AVG DLY MAX:82.0  AVG MLY TMP:73.3  MIN TMP:54 DATE(S):14 MAX TMP:91  DATE(S):27 DAYS MAX <=32:0 DAYS MAX >=90:2  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.935 LWST SLP:29.61 DATE/TIME:021850 HGST SLP:30.27 DATE/TIME:140904 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1963 DEP NORM:-25536 CDD MTH TOT:263 DEP NORM:-2553 SEASON(JAN 1-DEC 31):466 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-05-04 12:04,2021-05-11 20:06,2021-05-11 20:10,2021-05-11 20:15,2021-05-04 12:29,2021-05-04 12:43,2021-05-04 12:43,2021-05-04 12:43,2021-05-04 12:43,2021-05-04 12:43,2021-05-04 12:43,2021-05-17 08:48,0.28,0.36,0.41,0.45,0.6,0.71,0.72,0.72,0.72,0.72,0.72,0.75,,,louisiana
6,,,,2021-06-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5s,4s,0.0,22.0,0.0,0,,,,,,,,0.52s,27-28,,,,,30.12,30.0,957.0,91.5,82.3,29.8,20.0,1633.0,73.0,29.95,29.86,1.07s,,,,,SOM795PCP MTOT:1.07 PCP GT 24HRS:0.52 DATE(S):27-28 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.16  27/1414 MIN:10 0.23  28/1328 MIN:15 0.26  28/1332 MIN:20 0.26  28/1332 MIN:30 0.27  28/1332 MIN:45 0.27  28/1403 MIN:60 0.27  28/1403 MIN:80 0.28  28/1403 MIN:100 0.28  28/1403 MIN:120 0.28  28/1403 MIN:150 0.29  28/1403 MIN:180 0.29  28/1403 AVG DLY MIN:73.0  AVG DLY MAX:91.5  AVG MLY TMP:82.3  MIN TMP:67 DATE(S):18 MAX TMP:97  DATE(S):15 DAYS MAX <=32:0 DAYS MAX >=90:22 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.860 LWST SLP:29.80 DATE/TIME:201633 HGST SLP:30.12 DATE/TIME:300957 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1963 DEP NORM:-25536 CDD MTH TOT:523 DEP NORM:-2553 SEASON(JAN 1-DEC 31):989 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-06-27 14:14,2021-06-28 13:28,2021-06-28 13:32,2021-06-28 13:32,2021-06-28 13:32,2021-06-28 14:03,2021-06-28 14:03,2021-06-28 14:03,2021-06-28 14:03,2021-06-28 14:03,2021-06-28 14:03,2021-06-28 14:03,0.16,0.23,0.26,0.26,0.27,0.27,0.27s,0.28,0.28,0.28s,0.29,0.29s,,,louisiana
7,,,,2021-07-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,0.0,25.0,0.0,0,,,,,,,,2.07s,11-12,,,,,30.23,14.0,932.0,92.7,83.1,29.87,26.0,1807.0,73.5,30.01,29.91,5.54s,,,,,SOM796PCP MTOT:5.54 PCP GT 24HRS:2.07 DATE(S):11-12 DAYS W/PCP >=.01:16 DAYS W/PCP >=.10:10 DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.41  16/1245 MIN:10 0.74  16/1250 MIN:15 0.93  16/1254 MIN:20 1.11  16/1259 MIN:30 1.46  16/1308 MIN:45 1.75  16/1309 MIN:60 1.86  16/1309 MIN:80 1.87  16/1312 MIN:100 1.87  16/1312 MIN:120 1.87  16/1312 MIN:150 1.87  16/1312 MIN:180 1.87  16/1312 AVG DLY MIN:73.5  AVG DLY MAX:92.7  AVG MLY TMP:83.1  MIN TMP:68 DATE(S):04 MAX TMP:98  DATE(S):30 29 DAYS MAX <=32:0 DAYS MAX >=90:25 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.915 LWST SLP:29.87 DATE/TIME:261807 HGST SLP:30.23 DATE/TIME:140932 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:566 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1555 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-07-16 12:45,2021-07-16 12:50,2021-07-16 12:54,2021-07-16 12:59,2021-07-16 13:08,2021-07-16 13:09,2021-07-16 13:09,2021-07-16 13:12,2021-07-16 13:12,2021-07-16 13:12,2021-07-16 13:12,2021-07-16 13:12,0.41,0.74,0.93,1.11,1.46,1.75,1.86,1.87,1.87,1.87,1.87,1.87,,,louisiana
8,,,,2021-08-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,0.0,28.0,0.0,0,,,,,,,,0.49s,18-19,,,,,30.16,13.0,940.0,94.1,84.0,29.61,30.0,440.0,73.9,29.98,29.88,1.39s,,,,,SOM796PCP MTOT:1.39 PCP GT 24HRS:0.49 DATE(S):18-19 DAYS W/PCP >=.01:12 DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.14  03/1434 MIN:10 0.18  03/1439 MIN:15 0.20  03/1440 MIN:20 0.21  03/1446 MIN:30 0.21  03/1446 MIN:45 0.21  03/1446 MIN:60 0.21  03/1446 MIN:80 0.21  03/1446 MIN:100 0.25  19/1420 MIN:120 0.25  19/1420 MIN:150 0.30  19/1413 MIN:180 0.32  19/1420 AVG DLY MIN:73.9  AVG DLY MAX:94.1  AVG MLY TMP:84.0  MIN TMP:64 DATE(S):05 MAX TMP:100 DATE(S):25 23 DAYS MAX <=32:0 DAYS MAX >=90:28 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.880 LWST SLP:29.61 DATE/TIME:300440 HGST SLP:30.16 DATE/TIME:130940 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:598 DEP NORM:-2553 SEASON(JAN 1-DEC 31):2153 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-08-03 14:34,2021-08-03 14:39,2021-08-03 14:40,2021-08-03 14:46,2021-08-03 14:46,2021-08-03 14:46,2021-08-03 14:46,2021-08-03 14:46,2021-08-19 14:20,2021-08-19 14:20,2021-08-19 14:13,2021-08-19 14:20,0.14,0.18,0.20,0.21,0.21,0.21,0.21,0.21,0.25,0.25,0.3,0.32,,,louisiana
9,,,,2021-09-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,0.0,13.0,0.0,0s,,,,,,,,2.25s,14-15,,,,,30.2,22.0,1034.0,88.0,77.6,29.72,15.0,414.0,67.1,29.97,29.88,6.36s,,,,,SOM799PCP MTOT:6.36 PCP GT 24HRS:2.25 DATE(S):14-15 DAYS W/PCP >=.01:14 DAYS W/PCP >=.10:9  DAYS W/ PCP >=.50:6 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.38  21/1932 MIN:10 0.61  21/1933 MIN:15 0.65  21/1934 MIN:20 0.65  21/1934 MIN:30 0.71  05/2023 MIN:45 0.78  05/2040 MIN:60 0.81  05/2046 MIN:80 0.86  05/2112 MIN:100 0.87  05/2116 MIN:120 0.87  05/2116 MIN:150 0.87  05/2116 MIN:180 0.87  05/2116 AVG DLY MIN:67.1  AVG DLY MAX:88.0  AVG MLY TMP:77.6  MIN TMP:54 DATE(S):25 24 23 MAX TMP:98  DATE(S):01 DAYS MAX <=32:0 DAYS MAX >=90:13 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.875 LWST SLP:29.72 DATE/TIME:150414 HGST SLP:30.20 DATE/TIME:221034 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:383 DEP NORM:-2553 SEASON(JAN 1-DEC 31):2536 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-09-21 19:32,2021-09-21 19:33,2021-09-21 19:34,2021-09-21 19:34,2021-09-05 20:23,2021-09-05 20:40,2021-09-05 20:46,2021-09-05 21:12,2021-09-05 21:16,2021-09-05 21:16,2021-09-05 21:16,2021-09-05 21:16,0.38,0.61,0.65,0.65,0.71,0.78,0.81,0.86,0.87,0.87,0.87,0.87,,,louisiana
10,,,,2021-10-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0.0,4.0,0.0,0,,,,,,,,1.12,27-27,,,,,30.32,17.0,1013.0,83.4,72.1,29.49,27.0,1446.0,60.7,29.97,29.87,2.26s,,,,,SOM795PCP MTOT:2.26 PCP GT 24HRS:1.12 DATE(S):27 DAYS W/PCP >=.01:4  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.27  03/1416 MIN:10 0.51  03/1420 MIN:15 0.67  03/1422 MIN:20 0.81  03/1427 MIN:30 0.85  03/1431 MIN:45 0.85  03/1431 MIN:60 0.85  03/1431 MIN:80 0.85  03/1431 MIN:100 0.85  03/1431 MIN:120 0.85  03/1431 MIN:150 0.95  27/1257 MIN:180 1.03  27/1310 AVG DLY MIN:60.7  AVG DLY MAX:83.4  AVG MLY TMP:72.1  MIN TMP:44 DATE(S):31 17 MAX TMP:92  DATE(S):15 DAYS MAX <=32:0 DAYS MAX >=90:4  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.870 LWST SLP:29.49 DATE/TIME:271446 HGST SLP:30.32 DATE/TIME:171013 HDD MTH TOT:31 DEP NORM:-2553 SEASON(JUL 1-JUN 30):31 DEP NORM:-25536 CDD MTH TOT:255 DEP NORM:-2553 SEASON(JAN 1-DEC 31):2791 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-10-03 14:16,2021-10-03 14:20,2021-10-03 14:22,2021-10-03 14:27,2021-10-03 14:31,2021-10-03 14:31,2021-10-03 14:31,2021-10-03 14:31,2021-10-03 14:31,2021-10-03 14:31,2021-10-27 12:57,2021-10-27 13:10,0.27,0.51,0.67,0.81,0.85,0.85,0.85,0.85,0.85,0.85,0.95,1.03,,,louisiana
11,,,,2021-11-30T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0.0,0.0,0.0,0,,,,,,,,0.58,11-11,,,,,30.45,19.0,1027.0,69.1,56.1,29.87,11.0,427.0,43.0,30.19,30.09,1.17s,,,,,SOM792PCP MTOT:1.17 PCP GT 24HRS:0.58 DATE(S):11 DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.17  11/0441 MIN:10 0.29  11/0446 MIN:15 0.35  11/0449 MIN:20 0.38  11/0454 MIN:30 0.40  11/0502 MIN:45 0.44  11/0519 MIN:60 0.49  11/0532 MIN:80 0.51  11/0543 MIN:100 0.54  11/0610 MIN:120 0.55  11/0623 MIN:150 0.56  11/0637 MIN:180 0.57  11/0721 AVG DLY MIN:43.0  AVG DLY MAX:69.1  AVG MLY TMP:56.1  MIN TMP:34 DATE(S):27 MAX TMP:82  DATE(S):17 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:30.090 LWST SLP:29.87 DATE/TIME:110427 HGST SLP:30.45 DATE/TIME:191027 HDD MTH TOT:268 DEP NORM:-2553 SEASON(JUL 1-JUN 30):299 DEP NORM:-25536 CDD MTH TOT:8 DEP NORM:-2553 SEASON(JAN 1-DEC 31):2799 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-11-11 04:41,2021-11-11 04:46,2021-11-11 04:49,2021-11-11 04:54,2021-11-11 05:02,2021-11-11 05:19,2021-11-11 05:32,2021-11-11 05:43,2021-11-11 06:10,2021-11-11 06:23,2021-11-11 06:37,2021-11-11 07:21,0.17,0.29,0.35,0.38,0.4,0.44,0.49,0.51,0.54,0.55,0.56,0.57,,,louisiana
12,,,,2021-12-31T23:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,0.0,0.0,0.0,0,,,,,,,,1.31,18-19,,,,,30.37,12.0,1003.0,73.3,63.5,29.68,28.0,1448.0,53.7,30.04,29.95,3.05s,,,,,SOM800PCP MTOT:3.05 PCP GT 24HRS:1.31 DATE(S):18-19 DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.19  06/1133 MIN:10 0.29  06/1137 MIN:15 0.40  06/1142 MIN:20 0.44  06/1146 MIN:30 0.47  06/1154 MIN:45 0.53  06/1208 MIN:60 0.57  06/1226 MIN:80 0.65  18/1519 MIN:100 0.74  18/1542 MIN:120 0.82  18/1602 MIN:150 0.94  18/1630 MIN:180 1.02  18/1702 AVG DLY MIN:53.7  AVG DLY MAX:73.3  AVG MLY TMP:63.5  MIN TMP:34 DATE(S):22 12 MAX TMP:84  DATE(S):31 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.945 LWST SLP:29.68 DATE/TIME:281448 HGST SLP:30.37 DATE/TIME:121003 HDD MTH TOT:150 DEP NORM:-2553 SEASON(JUL 1-JUN 30):449 DEP NORM:-25536 CDD MTH TOT:111 DEP NORM:-2553 SEASON(JAN 1-DEC 31):2910 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,74754093915.0,2021-12-06 11:33,2021-12-06 11:37,2021-12-06 11:42,2021-12-06 11:46,2021-12-06 11:54,2021-12-06 12:08,2021-12-06 12:26,2021-12-18 15:19,2021-12-18 15:42,2021-12-18 16:02,2021-12-18 16:30,2021-12-18 17:02,0.19,0.29,0.40,0.44,0.47,0.53,0.57,0.65,0.74,0.82,0.94,1.02,,,louisiana
