,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset
0,,,,2021-01-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,,,-0.02,3.0,81.0,30.11,41,29.08,9.94,17.0,170,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN08072753 35666 21711 11078 21106 39849 40197 53006 90553 333 11056 21106 555 90106=,FM-12,FM-12,4,4,72753014914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10.5,0.0,0.0,2021-01-31T23:59:00,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,4730.0,1411.0,,,,,,,,,,,,,,,,,,6.0,2.0,31.0,0.0,5.0,24.0,10.1,0.0,-317.0,8.4,11.8,-0.33,,0.14,14-14,5,3.0,1.9,23-23,30.63,27.0,1053.0,26.8,19.4,29.42,14.0,853.0,11.9,30.09,29.08,0.37,4.6,,0.0,1728.0,SOM794PCP MTOT:0.29 PCP GT 24HRS:0.12 DATE(S):13-14 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:0  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  14/1658 MIN:10 0.02  23/1204 MIN:15 0.02  23/1204 MIN:20 0.02  23/1434 MIN:30 0.02  23/1434 MIN:45 0.03  14/0121 MIN:60 0.04  14/0015 MIN:80 0.05  14/0037 MIN:100 0.05  14/0121 MIN:120 0.06  14/0121 MIN:150 0.07  14/0121 MIN:180 0.07  14/0121 AVG DLY MIN:11.9  AVG DLY MAX:26.7  AVG MLY TMP:19.3  MIN TMP:-9 DATE(S):27 MAX TMP:41  DATE(S):14 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:31 DAYS MIN  <=0:5  AVG STP:29.075 LWST SLP:29.41 DATE/TIME:140747 HGST SLP:30.64 DATE/TIME:271116 HDD MTH TOT:1408 DEP NORM:-2553 SEASON(JUL 1-JUN 30):4622 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10.7,0.0,0.0,2021-02-28T23:59:00,2.0,,,,,,,,,,,,,,,,,,,,,,,6354.0,1624.0,,,,,,,,,,,,,,,,,,3.0,1.0,28.0,0.0,14.0,23.0,-7.8,0.0,214.0,-9.2,-6.4,-0.32,,0.21,23-23,3,25.0,1.8,23-23,30.87,14.0,1153.0,14.5,6.8,29.41,22.0,1502.0,-0.8,30.21,29.17,0.29,3.1,,0.0,1410.0,SOM791PCP MTOT:0.29 PCP GT 24HRS:0.21 DATE(S):23 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  28/2242 MIN:10 0.02  28/2242 MIN:15 0.02  28/2242 MIN:20 0.04  23/1916 MIN:30 0.04  23/1916 MIN:45 0.05  23/1940 MIN:60 0.06  23/1916 MIN:80 0.06  23/2006 MIN:100 0.07  23/2006 MIN:120 0.08  23/2006 MIN:150 0.09  23/2105 MIN:180 0.11  23/2130 AVG DLY MIN:-0.8  AVG DLY MAX:14.5  AVG MLY TMP:6.9   MIN TMP:-25DATE(S):14 MAX TMP:44  DATE(S):26 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:28 DAYS MIN  <=0:14 AVG STP:29.170 LWST SLP:29.41 DATE/TIME:221502 HGST SLP:30.88 DATE/TIME:141015 HDD MTH TOT:1619 DEP NORM:-2553 SEASON(JUL 1-JUN 30):6241 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-02-28 22:42,2021-02-28 22:42,2021-02-28 22:42,2021-02-23 19:16,2021-02-23 19:16,2021-02-23 19:40,2021-02-23 19:16,2021-02-23 20:06,2021-02-23 20:06,2021-02-23 20:06,2021-02-23 21:05,2021-02-23 21:30,0.02,0.02,0.02,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.11,,
3,12.3,0.0,0.0,2021-03-31T23:59:00,1.0,,,,,,,,,,,,,,,,,,,,,,,7250.0,896.0,,,,,,,,,,,,,,,,,,4.0,1.0,29.0,0.0,1.0,2.0,8.2,0.0,-256.0,11.9,4.4,-1.02,,0.22,10-10,3,1.0,2.4,10-10,30.54,12.0,1014.0,48.2,36.0,29.05,29.0,1507.0,23.8,30.07,29.07,0.28,2.8,,-7777.0,1152.0,SOM790PCP MTOT:0.15 PCP GT 24HRS:0.08 DATE(S):10 DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:0  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  10/2007 MIN:10 0.02  10/2007 MIN:15 0.02  10/2007 MIN:20 0.02  21/1140 MIN:30 0.03  10/1904 MIN:45 0.04  10/1904 MIN:60 0.04  10/1933 MIN:80 0.05  10/2007 MIN:100 0.06  10/2007 MIN:120 0.07  10/2007 MIN:150 0.08  10/2007 MIN:180 0.08  10/2007 AVG DLY MIN:23.7  AVG DLY MAX:48.2  AVG MLY TMP:36.0  MIN TMP:-5 DATE(S):01 MAX TMP:77  DATE(S):29 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:29 DAYS MIN  <=0:1  AVG STP:29.070 LWST SLP:29.05 DATE/TIME:291507 HGST SLP:30.54 DATE/TIME:121014 HDD MTH TOT:892 DEP NORM:-2553 SEASON(JUL 1-JUN 30):7133 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12.8,0.0,0.0,2021-04-30T23:59:00,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,7928.0,678.0,,,,,,,,,,,,,,,,,,12.0,5.0,18.0,0.0,0.0,1.0,-1.8,-3.0,52.0,-1.4,-2.4,0.28,,0.78,08-09,1,14.0,1.3,13-13,30.52,1.0,155.0,54.4,42.4,29.55,9.0,333.0,30.3,29.97,28.98,1.64,2.0,,3.0,626.0,SOM727PCP MTOT:1.58 PCP GT 24HRS:0.78 DATE(S):8-9 DAYS W/PCP >=.01:11 DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  25/1556 MIN:10 0.03  08/1832 MIN:15 0.04  08/1648 MIN:20 0.05  08/1648 MIN:30 0.07  08/1706 MIN:45 0.09  08/1850 MIN:60 0.12  08/1730 MIN:80 0.15  08/1832 MIN:100 0.18  08/1850 MIN:120 0.22  08/1843 MIN:150 0.27  08/1858 MIN:180 0.29  08/1935 AVG DLY MIN:30.4  AVG DLY MAX:55.1  AVG MLY TMP:42.8  MIN TMP:17 DATE(S):20 01 MAX TMP:73  DATE(S):28 AVG STP:28.985 LWST SLP:29.55 DATE/TIME:090333 HGST SLP:30.52 DATE/TIME:010155 HDD MTH TOT:639 DEP NORM:-2553 SEASON(JUL 1-JUN 30):7772 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-04-25 15:56,2021-04-08 18:32,2021-04-08 16:48,2021-04-08 16:48,2021-04-08 17:06,2021-04-08 18:50,2021-04-08 17:30,2021-04-08 18:32,2021-04-08 18:50,2021-04-08 18:43,2021-04-08 18:58,2021-04-08 19:35,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.15,0.18,0.22,0.27,0.29,,
5,11.4,33.0,33.0,2021-05-31T23:59:00,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,8217.0,289.0,,,,,,,,,,,,,,,,,,4.0,1.0,7.0,0.0,0.0,0.0,-0.4,5.0,16.0,1.3,-2.0,-2.44,,0.21,20-20,0,,0.0,,30.4,11.0,859.0,70.6,56.7,29.43,1.0,1755.0,42.9,30.04,29.07,0.37,,,28.0,273.0,SOM798PCP MTOT:0.37 PCP GT 24HRS:0.21 DATE(S):20 DAYS W/PCP >=.01:4  DAYS W/PCP >=.10:1  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.13  20/1005 MIN:10 0.15  20/1008 MIN:15 0.15  20/1008 MIN:20 0.16  20/1018 MIN:30 0.16  20/1018 MIN:45 0.17  20/1018 MIN:60 0.17  20/1018 MIN:80 0.17  20/1018 MIN:100 0.17  20/1018 MIN:120 0.17  20/1018 MIN:150 0.17  20/1018 MIN:180 0.17  20/1018 AVG DLY MIN:42.9  AVG DLY MAX:70.6  AVG MLY TMP:56.8  MIN TMP:26 DATE(S):04 MAX TMP:86  DATE(S):24 21 01 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:7  DAYS MIN  <=0:0  AVG STP:29.070 LWST SLP:29.43 DATE/TIME:011755 HGST SLP:30.40 DATE/TIME:110859 HDD MTH TOT:279 DEP NORM:-2553 SEASON(JUL 1-JUN 30):8051 DEP NORM:-25536 CDD MTH TOT:35 DEP NORM:-2553 SEASON(JAN 1-DEC 31):35 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-05-20 10:05,2021-05-20 10:08,2021-05-20 10:08,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,2021-05-20 10:18,0.13,0.15,0.15,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,,
6,9.4,247.0,214.0,2021-06-30T23:59:00,0.0,,7.0,,,,,,,,,,,,,,,,,,,,,8232.0,15.0,,,,,,,,,,,,,,,,,,7.0,5.0,0.0,9.0,0.0,0.0,5.4,107.0,-58.0,8.9,2.1,-0.31,,1.20,11-11,0,,0.0,,30.21,15.0,853.0,86.3,71.6,29.4,6.0,353.0,57.0,29.85,28.9,3.59,,,107.0,73.0,SOM796PCP MTOT:1.40 PCP GT 24HRS:1.07 DATE(S):20 DAYS W/PCP >=.01:4  DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.11  28/0010 MIN:10 0.15  28/0012 MIN:15 0.16  28/0015 MIN:20 0.16  28/0015 MIN:30 0.18  20/1011 MIN:45 0.26  20/1011 MIN:60 0.33  20/1021 MIN:80 0.41  20/1038 MIN:100 0.48  20/1038 MIN:120 0.51  20/1032 MIN:150 0.57  20/1044 MIN:180 0.59  20/1103 AVG DLY MIN:57.0  AVG DLY MAX:86.3  AVG MLY TMP:71.7  MIN TMP:46 DATE(S):22 01 MAX TMP:102 DATE(S):04 DAYS MAX <=32:0 DAYS MAX >=90:9  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:28.895 LWST SLP:29.39 DATE/TIME:060347 HGST SLP:30.22 DATE/TIME:150841 HDD MTH TOT:14 DEP NORM:-2553 SEASON(JUL 1-JUN 30):8065 DEP NORM:-25536 CDD MTH TOT:220 DEP NORM:-2553 SEASON(JAN 1-DEC 31):255 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.7,550.0,303.0,2021-07-31T23:59:00,0.0,,4.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,12.0,0.0,0.0,3.8,101.0,-16.0,4.1,3.4,-2.13,,0.33,06-06,0,,0.0,,30.22,19.0,1353.0,86.6,74.8,29.63,4.0,537.0,62.9,29.98,29.02,0.66,,,202.0,16.0,SOM788PCP MTOT:0.66 PCP GT 24HRS:0.33 DATE(S):6 DAYS W/PCP >=.01:3  DAYS W/PCP >=.10:2  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.10  19/1355 MIN:10 0.18  19/1356 MIN:15 0.22  19/1400 MIN:20 0.23  19/1403 MIN:30 0.25  19/1409 MIN:45 0.25  19/1409 MIN:60 0.29  19/1445 MIN:80 0.29  19/1445 MIN:100 0.30  19/1513 MIN:120 0.30  19/1513 MIN:150 0.30  19/1513 MIN:180 0.30  19/1513 AVG DLY MIN:62.9  AVG DLY MAX:86.6  AVG MLY TMP:74.8  MIN TMP:55 DATE(S):29 MAX TMP:96  DATE(S):23 DAYS MAX <=32:0 DAYS MAX >=90:12 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.020 LWST SLP:29.63 DATE/TIME:040537 HGST SLP:30.24 DATE/TIME:192109 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:310 DEP NORM:-2553 SEASON(JAN 1-DEC 31):565 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-07-19 13:55,2021-07-19 13:56,2021-07-19 14:00,2021-07-19 14:03,2021-07-19 14:09,2021-07-19 14:09,2021-07-19 14:45,2021-07-19 14:45,2021-07-19 15:13,2021-07-19 15:13,2021-07-19 15:13,2021-07-19 15:13,0.1,0.18,0.22,0.23,0.25,0.25,0.29,0.29,0.3,0.3,0.3,0.3,,
8,10.5,771.0,220.0,2021-08-31T23:59:00,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,6.0,5.0,0.0,9.0,0.0,0.0,2.7,55.0,-29.0,2.9,2.5,0.29,,1.29,20-20,0,,0.0,,30.27,1.0,1043.0,84.1,72.0,29.5,20.0,1653.0,59.8,29.88,28.92,2.85,,,165.0,34.0,SOM792PCP MTOT:2.85 PCP GT 24HRS:1.29 DATE(S):20 DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.22  20/1054 MIN:10 0.36  20/1056 MIN:15 0.45  20/1052 MIN:20 0.59  20/1056 MIN:30 0.69  20/1057 MIN:45 0.71  20/1111 MIN:60 0.73  20/1118 MIN:80 0.73  20/1118 MIN:100 0.77  20/1203 MIN:120 0.84  20/1226 MIN:150 0.86  20/1233 MIN:180 0.86  20/1233 AVG DLY MIN:59.8  AVG DLY MAX:84.1  AVG MLY TMP:72.0  MIN TMP:46 DATE(S):13 MAX TMP:96  DATE(S):18 14 DAYS MAX <=32:0 DAYS MAX >=90:9  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:28.925 LWST SLP:29.49 DATE/TIME:201648 HGST SLP:30.27 DATE/TIME:011043 HDD MTH TOT:4 DEP NORM:-2553 SEASON(JUL 1-JUN 30):4 DEP NORM:-25536 CDD MTH TOT:227 DEP NORM:-2553 SEASON(JAN 1-DEC 31):792 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-08-20 10:54,2021-08-20 10:56,2021-08-20 10:52,2021-08-20 10:56,2021-08-20 10:57,2021-08-20 11:11,2021-08-20 11:18,2021-08-20 11:18,2021-08-20 12:03,2021-08-20 12:26,2021-08-20 12:33,2021-08-20 12:33,0.22,0.36,0.45,0.59,0.69,0.71,0.73,0.73,0.77,0.84,0.86,0.86,,
9,10.3,827.0,56.0,2021-09-30T23:59:00,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,81.0,75.0,,,,,,,,,,,,,,,,,,5.0,4.0,0.0,1.0,0.0,0.0,5.3,13.0,-145.0,5.8,4.7,0.57,,2.10,02-02,0,,0.0,,30.3,21.0,1253.0,76.6,64.4,29.53,19.0,1953.0,52.1,29.9,28.94,3.14,,,43.0,220.0,SOM792PCP MTOT:3.14 PCP GT 24HRS:2.10 DATE(S):2-3+ DAYS W/PCP >=.01:5  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.13  02/0530 MIN:10 0.23  02/0532 MIN:15 0.29  02/0537 MIN:20 0.32  02/0539 MIN:30 0.42  02/0553 MIN:45 0.57  02/0604 MIN:60 0.64  02/0619 MIN:80 0.75  02/0636 MIN:100 0.89  02/0702 MIN:120 0.97  02/0702 MIN:150 1.06  02/0722 MIN:180 1.19  02/0653 AVG DLY MIN:52.1  AVG DLY MAX:76.6  AVG MLY TMP:64.4  MIN TMP:41 DATE(S):25 MAX TMP:90  DATE(S):28 DAYS MAX <=32:0 DAYS MAX >=90:1  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:28.935 LWST SLP:29.52 DATE/TIME:192029 HGST SLP:30.31 DATE/TIME:211217 HDD MTH TOT:71 DEP NORM:-2553 SEASON(JUL 1-JUN 30):75 DEP NORM:-25536 CDD MTH TOT:60 DEP NORM:-2553 SEASON(JAN 1-DEC 31):852 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-09-02 05:30,2021-09-02 05:32,2021-09-02 05:37,2021-09-02 05:39,2021-09-02 05:53,2021-09-02 06:04,2021-09-02 06:19,2021-09-02 06:36,2021-09-02 07:02,2021-09-02 07:02,2021-09-02 07:22,2021-09-02 06:53,0.13,0.23,0.29,0.32,0.42,0.57,0.64,0.75,0.89,0.97,1.06,1.19,,
10,10.5,839.0,12.0,2021-10-31T23:59:00,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,527.0,447.0,,,,,,,,,,,,,,,,,,7.0,5.0,9.0,0.0,0.0,0.0,5.5,9.0,-159.0,5.2,5.7,0.81,,1.00,09-09,0,,T,31-31,30.28,21.0,1108.0,61.2,51.0,29.28,13.0,1553.0,40.8,29.93,28.97,2.96,T,,3.0,606.0,SOM795PCP MTOT:2.96 PCP GT 24HRS:1.00 DATE(S):9-10+ DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:3 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.10  09/1635 MIN:10 0.14  13/1656 MIN:15 0.16  13/1700 MIN:20 0.20  13/1706 MIN:30 0.21  13/1706 MIN:45 0.24  13/1257 MIN:60 0.32  09/1637 MIN:80 0.37  09/1645 MIN:100 0.40  09/1719 MIN:120 0.47  09/1645 MIN:150 0.54  09/1719 MIN:180 0.56  09/1740 AVG DLY MIN:40.8  AVG DLY MAX:61.2  AVG MLY TMP:51.0  MIN TMP:23 DATE(S):23 MAX TMP:82  DATE(S):04 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:9  DAYS MIN  <=0:0  AVG STP:28.965 LWST SLP:29.26 DATE/TIME:131625 HGST SLP:30.28 DATE/TIME:211108 HDD MTH TOT:441 DEP NORM:-2553 SEASON(JUL 1-JUN 30):516 DEP NORM:-25536 CDD MTH TOT:13 DEP NORM:-2553 SEASON(JAN 1-DEC 31):865 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-10-09 16:35,2021-10-13 16:56,2021-10-13 17:00,2021-10-13 17:06,2021-10-13 17:06,2021-10-13 12:57,2021-10-09 16:37,2021-10-09 16:45,2021-10-09 17:19,2021-10-09 16:45,2021-10-09 17:19,2021-10-09 17:40,0.1,0.14,0.16,0.2,0.21,0.24,0.32,0.37,0.4,0.47,0.54,0.56,,
11,11.6,839.0,0.0,2021-11-30T23:59:00,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,1493.0,966.0,,,,,,,,,,,,,,,,,,7.0,3.0,25.0,0.0,0.0,6.0,3.9,0.0,-120.0,3.7,4.1,0.21,,0.70,10-10,2,15.0,1.8,13-13,30.58,25.0,832.0,41.0,32.7,29.45,16.0,1153.0,24.4,30.01,29.02,1.21,3.3,,-7777.0,1086.0,SOM792PCP MTOT:1.09 PCP GT 24HRS:0.62 DATE(S):10 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:2  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  30/1941 MIN:10 0.03  13/1148 MIN:15 0.04  13/1148 MIN:20 0.05  13/1148 MIN:30 0.07  10/1649 MIN:45 0.10  10/1649 MIN:60 0.12  10/1655 MIN:80 0.15  10/1716 MIN:100 0.18  10/1716 MIN:120 0.20  10/1800 MIN:150 0.24  10/1808 MIN:180 0.27  10/1842 AVG DLY MIN:24.4  AVG DLY MAX:41.0  AVG MLY TMP:32.7  MIN TMP:2  DATE(S):25 MAX TMP:62  DATE(S):06 DAYS MAX <=32:6 DAYS MAX >=90:0  DAYS MIN <=32:25 DAYS MIN  <=0:0  AVG STP:29.015 LWST SLP:29.44 DATE/TIME:161212 HGST SLP:30.58 DATE/TIME:250832 HDD MTH TOT:959 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1475 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):865 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,2021-11-30 19:41,2021-11-13 11:48,2021-11-13 11:48,2021-11-13 11:48,2021-11-10 16:49,2021-11-10 16:49,2021-11-10 16:55,2021-11-10 17:16,2021-11-10 17:16,2021-11-10 18:00,2021-11-10 18:08,2021-11-10 18:42,0.02,0.03,0.04,0.05,0.07,0.1,0.12,0.15,0.18,0.2,0.24,0.27,,
12,11.0,839.0,0.0,2021-12-31T23:59:00,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,3056.0,1563.0,,,,,,,,,,,,,,,,,,11.0,8.0,30.0,0.0,13.0,21.0,0.4,0.0,-15.0,1.6,-0.9,1.02,,0.62,26-27,14,31.0,4.5,27-27,30.47,18.0,1124.0,23.9,14.5,29.11,24.0,353.0,5.0,29.93,28.9,1.85,25.1,,0.0,1578.0,SOM796PCP MTOT:1.24 PCP GT 24HRS:0.62 DATE(S):26-27 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:0 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.04  26/2047 MIN:10 0.05  26/2047 MIN:15 0.05  26/2059 MIN:20 0.06  26/2104 MIN:30 0.07  26/2104 MIN:45 0.09  26/1922 MIN:60 0.10  26/1922 MIN:80 0.11  26/2104 MIN:100 0.14  26/2059 MIN:120 0.17  26/2047 MIN:150 0.21  26/2104 MIN:180 0.23  26/2104 AVG DLY MIN:5.0   AVG DLY MAX:23.9  AVG MLY TMP:14.5  MIN TMP:-26DATE(S):29 MAX TMP:51  DATE(S):01 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:30 DAYS MIN  <=0:13 AVG STP:28.905 LWST SLP:29.10 DATE/TIME:240402 HGST SLP:30.47 DATE/TIME:181124 HDD MTH TOT:1560 DEP NORM:-2553 SEASON(JUL 1-JUN 30):3035 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):865 DEP NORM:-25536,SOM  ,SOM  ,6,6,72753014914.0,,,,,,,,,,,,,,,,,,,,,,,,,,
