,AWND,CDSD,CLDD,DATE,DSNW,DYHF,DYTS,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,REPORT_TYPE.1,SOURCE,SOURCE.1,STATION,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,state
0,,,,2021-01-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,57,59,,||RA,0.07,8.0,93.0,29.95,8,29.29,6.84,58.0,110,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN09272323 11361 81110 10150 20139 39918 40142 58025 69901 761// 90553 333 10150 20100 555 90106=,FM-12,FM-12,4.0,4.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,alabama
1,7.4,0.0,0.0,2021-01-31T23:59:00,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,1807.0,688.0,,,,,,,,,,,,,,,,,,10,7,16,0,0.0,0.0,1.3,0.0,-41.0,1.0,1.6,-2.56,,0.66,24-25,T,11.0,0.3,11-11,30.59,28.0,953.0,52.2,42.8,29.67,15.0,1353.0,33.4,30.09,29.39,2.33,0.3,,-7777.0,729.0,SOM835PCP MTOT:2.33 PCP GT 24HRS:0.66 DATE(S):24-25 DAYS W/PCP >=.01:10 DAYS W/PCP >=.10:7  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.09  01/0609 MIN:10 0.11  01/0609 MIN:15 0.12  01/0618 MIN:20 0.14  01/0619 MIN:30 0.16  25/0112 MIN:45 0.17  25/0126 MIN:60 0.20  01/0703 MIN:80 0.24  25/0112 MIN:100 0.32  25/0112 MIN:120 0.34  25/0132 MIN:150 0.36  07/1854 MIN:180 0.42  07/1911 SN GT IN 24HRS:0.4 DATE(S): 11SN MTOT:0.4 AVG DLY MIN:33.4  AVG DLY MAX:52.2  AVG MLY TMP:42.8  MIN TMP:20 DATE(S):13 MAX TMP:74  DATE(S):01 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:16 DAYS MIN  <=0:0  AVG STP:29.395 LWST SLP:29.66 DATE/TIME:151352 HGST SLP:30.60 DATE/TIME:281008 HDD MTH TOT:683 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1787 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):0 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-01-01 06:09,2021-01-01 06:09,2021-01-01 06:18,2021-01-01 06:19,2021-01-25 01:12,2021-01-25 01:26,2021-01-01 07:03,2021-01-25 01:12,2021-01-25 01:12,2021-01-25 01:32,2021-01-07 18:54,2021-01-07 19:11,0.09,0.11,0.12,0.14,0.16,0.17,0.2,0.24,0.32,0.34,0.36,0.42,,,alabama
2,8.3,4.0,4.0,2021-02-28T23:59:00,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2468.0,662.0,,,,,,,,,,,,,,,,,,14,9,18,0,0.0,2.0,-4.2,3.0,120.0,-4.8,-3.7,0.60,,1.46,26-26,2,18.0,3.1,17-17,30.46,20.0,943.0,51.1,41.5,29.69,4.0,2129.0,31.8,30.11,29.4,5.44,3.3,,1.0,542.0,SOM790PCP MTOT:5.44 PCP GT 24HRS:1.46 DATE(S):26 DAYS W/PCP >=.01:14 DAYS W/PCP >=.10:9  DAYS W/ PCP >=.50:4 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.10  28/2337 MIN:10 0.15  28/2339 MIN:15 0.20  28/2344 MIN:20 0.21  28/2347 MIN:30 0.25  28/2358 MIN:45 0.27  15/1229 MIN:60 0.34  17/2048 MIN:80 0.46  15/1308 MIN:100 0.55  15/1329 MIN:120 0.60  15/1337 MIN:150 0.69  17/2144 MIN:180 0.76  17/2231 AVG DLY MIN:31.8  AVG DLY MAX:51.1  AVG MLY TMP:41.5  MIN TMP:13 DATE(S):16 MAX TMP:75  DATE(S):28 DAYS MAX <=32:2 DAYS MAX >=90:0  DAYS MIN <=32:18 DAYS MIN  <=0:0  AVG STP:29.405 LWST SLP:29.69 DATE/TIME:042129 HGST SLP:30.46 DATE/TIME:200943 HDD MTH TOT:656 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2443 DEP NORM:-25536 CDD MTH TOT:4 DEP NORM:-2553 SEASON(JAN 1-DEC 31):4 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-02-28 23:37,2021-02-28 23:39,2021-02-28 23:44,2021-02-28 23:47,2021-02-28 23:58,2021-02-15 12:29,2021-02-17 20:48,2021-02-15 13:08,2021-02-15 13:29,2021-02-15 13:37,2021-02-17 21:44,2021-02-17 22:31,0.1,0.15,0.2,0.21,0.25,0.27,0.34,0.46,0.55,0.6,0.69,0.76,,,alabama
3,8.1,12.0,8.0,2021-03-31T23:59:00,0.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,2734.0,266.0,,,,,,,,,,,,,,,,,,12,9,2,0,0.0,0.0,3.2,-5.0,-102.0,3.1,3.2,6.11,,2.35,25-25,0,,0.0,,30.57,8.0,1015.0,68.0,56.7,29.62,18.0,410.0,45.4,30.13,29.43,11.32,,,13.0,368.0,SOM795PCP MTOT:11.31 PCP GT 24HRS:2.35 DATE(S):25 DAYS W/PCP >=.01:12 DAYS W/PCP >=.10:8  DAYS W/ PCP >=.50:7 DAYS W/PCP >=1.00:5 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.42  27/1805 MIN:10 0.59  16/0230 MIN:15 0.77  16/0232 MIN:20 0.86  16/0232 MIN:30 0.97  16/0238 MIN:45 1.02  28/0453 MIN:60 1.29  28/0506 MIN:80 1.32  28/0522 MIN:100 1.59  16/0233 MIN:120 1.76  16/0238 MIN:150 1.80  16/0238 MIN:180 1.82  16/0238 AVG DLY MIN:45.4  AVG DLY MAX:68.0  AVG MLY TMP:56.7  MIN TMP:28 DATE(S):07 MAX TMP:80  DATE(S):27 14 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:2  DAYS MIN  <=0:0  AVG STP:29.435 LWST SLP:29.62 DATE/TIME:180410 HGST SLP:30.57 DATE/TIME:081015 HDD MTH TOT:259 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2702 DEP NORM:-25536 CDD MTH TOT:9 DEP NORM:-2553 SEASON(JAN 1-DEC 31):13 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-03-27 18:05,2021-03-16 02:30,2021-03-16 02:32,2021-03-16 02:32,2021-03-16 02:38,2021-03-28 04:53,2021-03-28 05:06,2021-03-28 05:22,2021-03-16 02:33,2021-03-16 02:38,2021-03-16 02:38,2021-03-16 02:38,0.42,0.59,0.77,0.86,0.97,1.02,1.29,1.32,1.59,1.76,1.8,1.82,,,alabama
4,6.5,41.0,29.0,2021-04-30T23:59:00,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,2921.0,186.0,,,,,,,,,,,,,,,,,,8,3,2,0,0.0,0.0,-2.0,-29.0,32.0,-1.4,-2.7,-1.28,,1.64,07-08,0,,0.0,,30.53,2.0,1028.0,72.2,59.8,29.59,10.0,1553.0,47.3,30.02,29.33,3.04,,,58.0,154.0,SOM794PCP MTOT:2.85 PCP GT 24HRS:1.62 DATE(S):8 DAYS W/PCP >=.01:7  DAYS W/PCP >=.10:2  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.02  29/0858 MIN:10 0.03  29/0847 MIN:15 0.04  29/0855 MIN:20 0.05  29/0858 MIN:30 0.06  29/0909 MIN:45 0.06  29/0909 MIN:60 0.06  29/0909 MIN:80 0.06  29/0909 MIN:100 0.06  29/0909 MIN:120 0.06  29/0909 MIN:150 0.06  29/0909 MIN:180 0.06  29/0909 AVG DLY MIN:47.3  AVG DLY MAX:72.2  AVG MLY TMP:59.8  MIN TMP:30 DATE(S):02 MAX TMP:83  DATE(S):28 27 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:2  DAYS MIN  <=0:0  AVG STP:29.330 LWST SLP:29.58 DATE/TIME:241530 HGST SLP:30.53 DATE/TIME:021028 HDD MTH TOT:180 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2882 DEP NORM:-25536 CDD MTH TOT:31 DEP NORM:-2553 SEASON(JAN 1-DEC 31):44 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,alabama
5,7.2,180.0,139.0,2021-05-31T23:59:00,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,2968.0,47.0,,,,,,,,,,,,,,,,,,10,3,0,3,0.0,0.0,-2.3,-52.0,20.0,-2.1,-2.6,0.11,,3.25,04-04,0,,0.0,,30.41,22.0,822.0,79.2,68.0,29.7,3.0,353.0,56.7,30.09,29.41,5.22,,,191.0,27.0,SOM798PCP MTOT:5.22 PCP GT 24HRS:3.25 DATE(S):4-5+ DAYS W/PCP >=.01:10 DAYS W/PCP >=.10:3  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:2 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.44  04/0805 MIN:10 0.74  04/0805 MIN:15 0.96  04/0806 MIN:20 1.13  04/0807 MIN:30 1.46  04/0806 MIN:45 1.89  04/0806 MIN:60 2.02  04/0821 MIN:80 2.16  04/0841 MIN:100 2.20  04/0900 MIN:120 2.20  04/0900 MIN:150 2.21  04/0935 MIN:180 2.21  04/0935 AVG DLY MIN:56.7  AVG DLY MAX:79.2  AVG MLY TMP:68.0  MIN TMP:45 DATE(S):14 07 MAX TMP:92  DATE(S):25 DAYS MAX <=32:0 DAYS MAX >=90:3  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.415 LWST SLP:29.69 DATE/TIME:030220 HGST SLP:30.41 DATE/TIME:220822 HDD MTH TOT:46 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2928 DEP NORM:-25536 CDD MTH TOT:144 DEP NORM:-2553 SEASON(JAN 1-DEC 31):188 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-05-04 08:05,2021-05-04 08:05,2021-05-04 08:06,2021-05-04 08:07,2021-05-04 08:06,2021-05-04 08:06,2021-05-04 08:21,2021-05-04 08:41,2021-05-04 09:00,2021-05-04 09:00,2021-05-04 09:35,2021-05-04 09:35,0.44,0.74,0.96,1.13,1.46,1.89,2.02,2.16,2.2,2.2,2.21,2.21,,,alabama
6,6.5,529.0,348.0,2021-06-30T23:59:00,0.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,2968.0,0.0,,,,,,,,,,,,,,,,,,14,10,0,6,0.0,0.0,-1.1,-32.0,-1.0,-2.2,0.1,1.44,,1.46,02-02,0,,0.0,,30.2,29.0,847.0,86.0,76.6,29.8,20.0,53.0,67.2,30.01,29.34,5.73,,,380.0,1.0,SOM791PCP MTOT:5.73 PCP GT 24HRS:1.46 DATE(S):2 DAYS W/PCP >=.01:14 DAYS W/PCP >=.10:10 DAYS W/ PCP >=.50:5 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.36  21/1351 MIN:10 0.55  21/1354 MIN:15 0.71  21/1359 MIN:20 0.80  21/1403 MIN:30 0.81  21/1406 MIN:45 0.81  21/1406 MIN:60 0.81  21/1406 MIN:80 0.81  21/1406 MIN:100 0.81  21/1406 MIN:120 0.81  21/1406 MIN:150 0.81  21/1406 MIN:180 0.81  21/1406 AVG DLY MIN:67.2  AVG DLY MAX:86.0  AVG MLY TMP:76.6  MIN TMP:59 DATE(S):23 MAX TMP:93  DATE(S):13 DAYS MAX <=32:0 DAYS MAX >=90:6  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.335 LWST SLP:29.79 DATE/TIME:211319 HGST SLP:30.20 DATE/TIME:290847 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):2928 DEP NORM:-25536 CDD MTH TOT:355 DEP NORM:-2553 SEASON(JAN 1-DEC 31):543 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,alabama
7,4.7,981.0,453.0,2021-07-31T23:59:00,0.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,16,11,0,12,0.0,0.0,-1.0,-29.0,0.0,-2.2,0.3,5.03,,2.30,19-19,0,,0.0,,30.25,14.0,1053.0,88.5,79.6,29.84,2.0,1623.0,70.7,30.03,29.36,9.08,,,482.0,0.0,SOM796PCP MTOT:9.08 PCP GT 24HRS:2.30 DATE(S):19 DAYS W/PCP >=.01:16 DAYS W/PCP >=.10:11 DAYS W/ PCP >=.50:6 DAYS W/PCP >=1.00:3 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.41  11/1456 MIN:10 0.63  11/1457 MIN:15 0.81  11/1501 MIN:20 0.98  11/1501 MIN:30 1.08  11/1505 MIN:45 1.24  19/2025 MIN:60 1.38  19/2041 MIN:80 1.45  19/2101 MIN:100 1.50  19/2121 MIN:120 1.57  19/2139 MIN:150 1.66  19/2209 MIN:180 1.73  19/2240 AVG DLY MIN:70.7  AVG DLY MAX:88.5  AVG MLY TMP:79.6  MIN TMP:59 DATE(S):04 MAX TMP:95  DATE(S):29 28 27 DAYS MAX <=32:0 DAYS MAX >=90:12 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.355 LWST SLP:29.84 DATE/TIME:021623 HGST SLP:30.26 DATE/TIME:140740 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:462 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1005 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-07-11 14:56,2021-07-11 14:57,2021-07-11 15:01,2021-07-11 15:01,2021-07-11 15:05,2021-07-19 20:25,2021-07-19 20:41,2021-07-19 21:01,2021-07-19 21:21,2021-07-19 21:39,2021-07-19 22:09,2021-07-19 22:40,0.41,0.63,0.81,0.98,1.08,1.24,1.38,1.45,1.5,1.57,1.66,1.73,,,alabama
8,4.7,1419.0,438.0,2021-08-31T23:59:00,0.0,,12.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,15,9,0,12,0.0,0.0,-1.0,-32.0,0.0,-3.1,1.0,2.80,,2.44,30-31,0,,0.0,,30.19,12.0,1032.0,87.8,79.1,29.5,31.0,1413.0,70.4,30.02,29.35,6.41,,,470.0,-7777.0,SOM793PCP MTOT:6.41 PCP GT 24HRS:2.44 DATE(S):30-31 DAYS W/PCP >=.01:15 DAYS W/PCP >=.10:9  DAYS W/ PCP >=.50:5 DAYS W/PCP >=1.00:3 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.30  07/1040 MIN:10 0.49  07/1045 MIN:15 0.62  07/1049 MIN:20 0.62  07/1049 MIN:30 0.74  15/1651 MIN:45 0.86  15/1700 MIN:60 0.94  15/1704 MIN:80 1.25  15/1654 MIN:100 1.32  15/1710 MIN:120 1.36  15/1710 MIN:150 1.40  15/1741 MIN:180 1.42  15/1811 AVG DLY MIN:70.4  AVG DLY MAX:87.8  AVG MLY TMP:79.1  MIN TMP:62 DATE(S):04 MAX TMP:96  DATE(S):25 DAYS MAX <=32:0 DAYS MAX >=90:12 DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.350 LWST SLP:29.50 DATE/TIME:311413 HGST SLP:30.19 DATE/TIME:121032 HDD MTH TOT:0 DEP NORM:-2553 SEASON(JUL 1-JUN 30):0 DEP NORM:-25536 CDD MTH TOT:445 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1450 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-08-07 10:40,2021-08-07 10:45,2021-08-07 10:49,2021-08-07 10:49,2021-08-15 16:51,2021-08-15 17:00,2021-08-15 17:04,2021-08-15 16:54,2021-08-15 17:10,2021-08-15 17:10,2021-08-15 17:41,2021-08-15 18:11,0.3,0.49,0.62,0.62,0.74,0.86,0.94,1.25,1.32,1.36,1.4,1.42,,,alabama
9,4.7,1656.0,236.0,2021-09-30T23:59:00,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,8,8,0,0,0.0,0.0,-1.1,-39.0,-4.0,-2.2,-0.1,2.24,,3.80,19-20,0,,0.0,,30.26,12.0,1012.0,82.8,72.6,29.72,1.0,153.0,62.4,30.02,29.35,5.96,,,275.0,13.0,SOM796PCP MTOT:5.33 PCP GT 24HRS:3.80 DATE(S):19-20 DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:6  DAYS W/ PCP >=.50:3 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.20  19/1253 MIN:10 0.31  19/1255 MIN:15 0.39  19/1258 MIN:20 0.45  19/1258 MIN:30 0.52  19/1305 MIN:45 0.63  19/1107 MIN:60 0.77  19/1120 MIN:80 0.84  19/1119 MIN:100 0.96  19/1125 MIN:120 1.02  19/1154 MIN:150 1.39  19/1257 MIN:180 1.56  19/1305 AVG DLY MIN:62.4  AVG DLY MAX:82.8  AVG MLY TMP:72.6  MIN TMP:48 DATE(S):24 23 MAX TMP:89  DATE(S):13 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.350 LWST SLP:29.71 DATE/TIME:010016 HGST SLP:30.26 DATE/TIME:121012 HDD MTH TOT:8 DEP NORM:-2553 SEASON(JUL 1-JUN 30):8 DEP NORM:-25536 CDD MTH TOT:242 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1692 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-09-19 12:53,2021-09-19 12:55,2021-09-19 12:58,2021-09-19 12:58,2021-09-19 13:05,2021-09-19 11:07,2021-09-19 11:20,2021-09-19 11:19,2021-09-19 11:25,2021-09-19 11:54,2021-09-19 12:57,2021-09-19 13:05,0.2,0.31,0.39,0.45,0.52,0.63,0.77,0.84,0.96,1.02,1.39,1.56,,,alabama
10,5.8,1767.0,111.0,2021-10-31T23:59:00,0.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,104.0,95.0,,,,,,,,,,,,,,,,,,11,8,0,0,0.0,0.0,2.7,41.0,-43.0,1.4,4.1,-0.23,,1.76,05-06,0,,0.0,,30.27,20.0,924.0,76.0,65.5,29.43,29.0,331.0,55.1,29.99,29.31,3.36,,,70.0,138.0,SOM794PCP MTOT:3.36 PCP GT 24HRS:1.76 DATE(S):5-6 DAYS W/PCP >=.01:11 DAYS W/PCP >=.10:8  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:1 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.13  06/1936 MIN:10 0.21  06/1941 MIN:15 0.25  06/1946 MIN:20 0.27  06/1940 MIN:30 0.33  06/1948 MIN:45 0.41  05/2223 MIN:60 0.49  05/2223 MIN:80 0.58  05/2223 MIN:100 0.65  05/2225 MIN:120 0.80  05/2223 MIN:150 0.90  05/2225 MIN:180 0.98  05/2225 AVG DLY MIN:55.1  AVG DLY MAX:76.0  AVG MLY TMP:65.6  MIN TMP:39 DATE(S):18 MAX TMP:86  DATE(S):01 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:0  DAYS MIN  <=0:0  AVG STP:29.310 LWST SLP:29.43 DATE/TIME:290331 HGST SLP:30.27 DATE/TIME:200924 HDD MTH TOT:93 DEP NORM:-2553 SEASON(JUL 1-JUN 30):101 DEP NORM:-25536 CDD MTH TOT:118 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1810 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-10-06 19:36,2021-10-06 19:41,2021-10-06 19:46,2021-10-06 19:40,2021-10-06 19:48,2021-10-05 22:23,2021-10-05 22:23,2021-10-05 22:23,2021-10-05 22:25,2021-10-05 22:23,2021-10-05 22:25,2021-10-05 22:25,0.13,0.21,0.25,0.27,0.33,0.41,0.49,0.58,0.65,0.8,0.9,0.98,,,alabama
11,5.6,1767.0,0.0,2021-11-30T23:59:00,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,592.0,488.0,,,,,,,,,,,,,,,,,,6,4,15,0,0.0,0.0,-4.0,-9.0,112.0,-1.3,-6.8,-3.32,,0.70,21-21,0,,0.0,,30.5,19.0,950.0,62.4,48.7,29.85,11.0,1309.0,35.0,30.2,29.49,1.62,,,9.0,376.0,SOM796PCP MTOT:1.62 PCP GT 24HRS:0.70 DATE(S):21+ DAYS W/PCP >=.01:6  DAYS W/PCP >=.10:4  DAYS W/ PCP >=.50:1 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.19  21/1917 MIN:10 0.25  21/1923 MIN:15 0.27  21/1926 MIN:20 0.31  21/1933 MIN:30 0.34  21/1943 MIN:45 0.38  21/1955 MIN:60 0.42  21/2009 MIN:80 0.47  21/1946 MIN:100 0.54  21/2004 MIN:120 0.58  21/2024 MIN:150 0.59  21/2024 MIN:180 0.61  21/2024 AVG DLY MIN:35.0  AVG DLY MAX:62.4  AVG MLY TMP:48.7  MIN TMP:25 DATE(S):27 23 MAX TMP:76  DATE(S):09 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:15 DAYS MIN  <=0:0  AVG STP:29.495 LWST SLP:29.85 DATE/TIME:111309 HGST SLP:30.50 DATE/TIME:190950 HDD MTH TOT:481 DEP NORM:-2553 SEASON(JUL 1-JUN 30):582 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1810 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-11-21 19:17,2021-11-21 19:23,2021-11-21 19:26,2021-11-21 19:33,2021-11-21 19:43,2021-11-21 19:55,2021-11-21 20:09,2021-11-21 19:46,2021-11-21 20:04,2021-11-21 20:24,2021-11-21 20:24,2021-11-21 20:24,0.19,0.25,0.27,0.31,0.34,0.38,0.42,0.47,0.54,0.58,0.59,0.61,,,alabama
12,6.9,1770.0,3.0,2021-12-31T23:59:00,0.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,941.0,349.0,,,,,,,,,,,,,,,,,,12,5,8,0,0.0,0.0,9.9,1.0,-305.0,11.1,8.6,-1.04,,1.64,28-29,0,,0.0,,30.45,14.0,953.0,64.6,53.8,29.74,29.0,1753.0,43.0,30.06,29.37,4.73,,,2.0,654.0,SOM795PCP MTOT:4.73 PCP GT 24HRS:1.64 DATE(S):28-29 DAYS W/PCP >=.01:12 DAYS W/PCP >=.10:5  DAYS W/ PCP >=.50:4 DAYS W/PCP >=1.00:3 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.35  29/1922 MIN:10 0.44  29/1923 MIN:15 0.54  29/1923 MIN:20 0.60  29/1928 MIN:30 0.70  29/1935 MIN:45 0.78  29/1939 MIN:60 0.84  06/0908 MIN:80 0.93  06/0908 MIN:100 0.98  06/0922 MIN:120 1.02  06/0935 MIN:150 1.04  06/0935 MIN:180 1.04  06/0935 AVG DLY MIN:43.0  AVG DLY MAX:64.6  AVG MLY TMP:53.8  MIN TMP:26 DATE(S):23 MAX TMP:75  DATE(S):03 DAYS MAX <=32:0 DAYS MAX >=90:0  DAYS MIN <=32:8  DAYS MIN  <=0:0  AVG STP:29.370 LWST SLP:29.73 DATE/TIME:281546 HGST SLP:30.46 DATE/TIME:140944 HDD MTH TOT:342 DEP NORM:-2553 SEASON(JUL 1-JUN 30):924 DEP NORM:-25536 CDD MTH TOT:4 DEP NORM:-2553 SEASON(JAN 1-DEC 31):1814 DEP NORM:-25536,SOM  ,SOM  ,6.0,6.0,72323003856.0,2021-12-29 19:22,2021-12-29 19:23,2021-12-29 19:23,2021-12-29 19:28,2021-12-29 19:35,2021-12-29 19:39,2021-12-06 09:08,2021-12-06 09:08,2021-12-06 09:22,2021-12-06 09:35,2021-12-06 09:35,2021-12-06 09:35,0.35,0.44,0.54,0.6,0.7,0.78,0.84,0.93,0.98,1.02,1.04,1.04,,,alabama
